_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,farg_secim,farg_secim:confidence,hata,orig__golden,arg0,arg1,arg2,arg3,arg4,ex0,ex1,ex2,farg,farg_secim_gold,farg_secim_gold_reason,pred,pred_no,senseid,sent,sid
853873244,true,golden,7,"",işlenen,1.0,"





",TRUE,işleyen,işlenen,N.A,N.A,N.A,&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Suç işlemiş sayılırım.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: işlemiş<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>yapılan olay</b>: Suç<br>,N.A,N.A,suç,işlenen,İşlenen nedir,işle,1,2,"Değişiklikle , milletvekili seçilme yeterliliğini düzenleyen yetmişaltı. maddedeki , "" ideolojik ve anarşik eylemler "" ifadesi "" terör eylemleri "" diye değiştirildi , Erdoğan'ın işlediği suç , seçilmesine engel olmaktan çıkarıldı . ",34
853873245,true,golden,7,"",işleyen,1.0,"





",TRUE,işleyen,işlenen,N.A,N.A,N.A,&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Suç işlemiş sayılırım.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: işlemiş<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>yapılan olay</b>: Suç<br>,N.A,N.A,Erdoğan'ın,işleyen,Suçu işleyen kimdir ?,işle,1,2,"Değişiklikle , milletvekili seçilme yeterliliğini düzenleyen yetmişaltı. maddedeki , "" ideolojik ve anarşik eylemler "" ifadesi "" terör eylemleri "" diye değiştirildi , Erdoğan'ın işlediği suç , seçilmesine engel olmaktan çıkarıldı . ",34
853873246,true,golden,4,"",gösterilen,0.4977,"


",TRUE,gösteren,gösterilen,kime/neye gösterildiği,N.A,N.A,&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Size kitaplarımı göstereyim.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: göstereyim<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>gösterilen kişi</b>: Size<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>görünen şey</b>: kitaplarımı<br>,N.A,N.A,gelinmediğini,gösterilen,"Neyi gösteriyordu (Görünen şey nedir)? ""ormanın bu bölümüne kasabadan sıkça gelinmediğini"".",göster,1,1,"Yerde araç izinin olmaması ve kamyonun ilerleyecek yol bulamaması , ormanın bu bölümüne kasabadan sıkça gelinmediğini gösteriyordu . ",66
853873247,true,golden,5,"",ne istediği,1.0,"



",TRUE,isteyen,ne istediği,N.A,N.A,N.A,&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Kımıldamak istedi kımıldayamadı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: istedi<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>arzuladığı şey</b>: Kımıldamak<br>,N.A,N.A,etmek,ne istediği,"Ne istiyor ? ""İntihar etmek""",iste,1,1,İntihar etmek istiyor ama beceremiyordum . ,110
853873248,true,golden,8,"","Tüm cümleyi etkileyen, diğer tanımlara uymayan zarflar (Mutlaka, muhtemelen vb...)",0.7514,"






",TRUE,N.A,kızaran,N.A,N.A,N.A,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Yüzü kızardı, utandı.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: kızardı<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>kızaran</b>: Yüzü<br>",N.A,N.A,Mutlaka,"Tüm cümleyi etkileyen, diğer tanımlara uymayan zarflar (Mutlaka, muhtemelen vb...)","""Genelde tüm cümleyi etkileyen, diğer tanımlara uymayan zarf öğeler (Mutlaka, muhtemelen vb...)"" ",kızar,1,1,"Mutlaka ya kızartılacak , ya közlenecek . ",128
853873249,true,golden,7,"",incelenen,1.0,"





",TRUE,inceleyen,incelenen,N.A,N.A,N.A,&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Bu formülü incelemek gerek.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: incelemek<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>incelenen</b>: Bu formülü<br>,N.A,N.A,Raporları,incelenen,Neyi incelemek ?,incele,1,1,Raporları detaylı incelemek içinse zamanla yarışacaklardı ... ,131
853873250,true,golden,8,"","Nasıl (hızlıca, güzel, yavaş, yapıp, koşup vb)",0.8949,"






",TRUE,inceleyen,incelenen,N.A,N.A,N.A,&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>Bu formülü incelemek gerek.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: incelemek<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>incelenen</b>: Bu formülü<br>,N.A,N.A,detaylı,"Nasıl (hızlıca, güzel, yavaş, yapıp, koşup vb)",Nasıl inceleniyor ? ,incele,1,1,Raporları detaylı incelemek içinse zamanla yarışacaklardı ... ,131
853873251,true,golden,3,"","Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)",0.6624,"

",TRUE,sürünen,N.A,N.A,N.A,N.A,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>İçimize tekrar emniyet geldikten sonra, karnımız üstünde sürünerek Nil'e, sonra öteki sahile geçtik.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: sürünerek<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nerede, hangi lokasyonda gerçekleştiği (soyut da olabilir) (mahallede, konuşmasında, hayalinde)</b>: karnımız üstünde<br>",N.A,N.A,süre,"Ne Zaman (Eylül, Pazartesi), Ne Sıklıkla (her zaman, bazen), Kaçıncı (ilk, son) ya da Ne kadarlığına (bir aylığına)", Ne zaman süründüm ?,sürün,1,1,Bir süre kapısında bir köpek gibi süründüm . ,144
853873252,true,golden,6,"","Nerede (mahallede, konuşmasında, hayalinde)",1.0,"




",TRUE,sürünen,N.A,N.A,N.A,N.A,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>İçimize tekrar emniyet geldikten sonra, karnımız üstünde sürünerek Nil'e, sonra öteki sahile geçtik.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: sürünerek<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nerede, hangi lokasyonda gerçekleştiği (soyut da olabilir) (mahallede, konuşmasında, hayalinde)</b>: karnımız üstünde<br>",N.A,N.A,kapısında,"Nerede (mahallede, konuşmasında, hayalinde)",Nerede süründüm ? ,sürün,1,1,Bir süre kapısında bir köpek gibi süründüm . ,144
853873253,true,golden,7,"","Nasıl (hızlıca, güzel, yavaş, yapıp, koşup vb)",0.8747,"





",TRUE,sürünen,N.A,N.A,N.A,N.A,"&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <strong>Cümle:</strong><font size=3><i>İçimize tekrar emniyet geldikten sonra, karnımız üstünde sürünerek Nil'e, sonra öteki sahile geçtik.</i></font><br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylem</b>: sürünerek<br>&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp&nbsp <b>Eylemin nerede, hangi lokasyonda gerçekleştiği (soyut da olabilir) (mahallede, konuşmasında, hayalinde)</b>: karnımız üstünde<br>",N.A,N.A,gibi,"Nasıl (hızlıca, güzel, yavaş, yapıp, koşup vb)",Nasıl süründüm ? ,sürün,1,1,Bir süre kapısında bir köpek gibi süründüm . ,144
