worker_id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate,level_1_contributors,tr_crowd_official
6330751,3494357,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6335134,3429290,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6337268,3428059,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6338920,3932762,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6347829,3615821,5,2,5,0,clixsense,MEX,06,Chihuahua,189.202.42.215,,,0,,0.6,300,1.0,
6348848,2477671,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6348854,3946782,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6358885,2983924,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6362625,3420156,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6362789,3167622,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6362822,3462810,10,0,6,0,clixsense,TUR,16,Bursa,176.219.82.180,,,0,,1.0,300,1.0,1.0
6363238,3434821,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6366853,3428115,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6405789,3562435,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6409472,3032772,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6431343,3342176,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6460366,3818391,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6494576,3465845,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6516196,3254482,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6549241,3855577,5,3,5,0,clixsense,TUR,83,Gaziantep,78.166.141.215,,,0,,0.4,0,,1.0
6572914,3879409,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6594279,3546876,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6601480,4004591,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6631846,3418686,5,5,5,0,clixsense,TUR,38,Kayseri,88.252.95.0,,,0,,0.0,0,1.0,1.0
6854243,4026307,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
6916874,4028908,0,0,0,0,clixsense,,,,,,,0,,1.0,0,,1.0
7117281,3287222,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
7198946,3163380,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
7276208,2817356,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
7321778,4060848,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
7344788,3469229,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
7435938,2329782,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
7567368,3420151,5,4,5,0,clixsense,TUR,34,Istanbul,151.250.149.29,,,0,,0.2,0,,1.0
7606098,4086334,1755,17,346,8,clixsense,TUR,"","",78.170.63.66,,,50,,0.9509,79,,1.0
7609785,4088120,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
7837812,4110103,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
8340212,3716583,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
8370565,4157600,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
8938322,3412691,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
8941631,3735243,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
9017849,4219019,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
9021084,3917979,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
9232361,3433530,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
9293209,3672521,80,2,20,0,clixsense,TUR,34,Istanbul,88.236.170.44,,,0,,0.9,27,1.0,1.0
9482178,4268538,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
9597979,3647728,5,2,5,0,clixsense,TUR,38,Kayseri,88.252.105.30,,,0,,0.6,0,,1.0
9613134,4284502,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
10214685,3422373,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
11000287,4448154,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
11003787,9EC73C8461E15B6D2BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
11005390,28DE69E4DBBDC48024750D543524A854,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
11011083,813B3AA0D7F42F6F24750D543524A854,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
11026032,B3F48FDFA142267393CA06397A287A80,120,4,28,0,neodev,TUR,34,Istanbul,78.173.76.112,,,0,,0.8571,28,1.0,1.0
11041975,42426110F79C8D736964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
11060734,D2D987E100A8325A0FA9E28369487118,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
11069376,743D80D74AC340E8BD9CE4BD64DFB8C1,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
11075499,499610320E8C6B8B41A29D4352C72707,5,5,5,0,neodev,VEN,"","",190.206.191.220,,,0,,0.0,300,1.0,
11270896,41CFC55FEBEB020F41A29D4352C72707,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
11342616,0413159722D866B7DD6A67EA287D2489,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
11461054,CE5481D1BC7A5695044935D48A84480F,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
11477478,4493604,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
11488828,4476699,105,5,25,0,clixsense,TUR,07,Antalya,37.155.30.151,,,0,,0.8,24,1.0,1.0
11690404,4517058,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
11975072,9278DD699A511A4C6964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
12026112,AACAE4C5EA8B05EDBD9CE4BD64DFB8C1,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
12033857,4553546,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
12098055,4560112,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
12143383,4566604,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
12281359,2475275,0,0,0,0,clixsense,,,,,,,0,,1.0,0,,
12384344,CF74D0DB0B9B623524750D543524A854,5,2,5,0,neodev,TUR,07,Antalya,95.15.102.170,,,0,,0.6,300,,1.0
12502861,4C63097F7F64E9C6044935D48A84480F,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
12666028,31B3A8DB10A236E893CA06397A287A80,0,0,0,0,neodev,,,,,,,0,,1.0,0,,1.0
12673390,3205951908F8F64C0FA9E28369487118,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
12781140,4633065,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
12857276,4642598,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
12938520,553DC98A67618FEABD9CE4BD64DFB8C1,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
12992946,4653777,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
13060883,B0BEAA402A54303BDD6A67EA287D2489,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
13381223,C9C38267D3EB01B00DD4E15F98F7C799,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
13521049,4561956,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
13577547,55AEED714EDA502D2BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
13655960,088E136AFA3A2C85AADFB62A30C6BB71,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
13906457,4793841,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
14073714,590BE2733ABF40B841A29D4352C72707,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
14104896,C9F359E00A6629362BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
14155509,4827532,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
14218973,4835763,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
14452845,2678945388BEEDEA24750D543524A854,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
14550901,DF6EB922AA996463BD9CE4BD64DFB8C1,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
14613401,2E01A23BCB35817D24750D543524A854,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
14643012,4897356,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
14995281,16EE32F9B45CF0086964A2442E880D82,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
15046555,0009F844EC650D670FA9E28369487118,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
15097696,4954296,0,0,0,0,clixsense,,,,,,,0,,1.0,0,,
15220551,3488360,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
15602965,5029206,5,0,5,0,clixsense,TUR,68,Ankara,78.162.189.76,,,0,,1.0,300,1.0,1.0
15704545,8525,0,0,0,0,gifthunterclub,,,,,,,0,,1.0,0,1.0,
15893236,5069021,1400,24,282,2,clixsense,TUR,"","",85.108.119.30,,,0,,0.9149,40,1.0,1.0
15917486,5072237,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
15928328,5073589,5,2,5,0,clixsense,TUR,16,Bursa,78.178.100.44,,,0,,0.6,0,1.0,
16155357,1A5C11720E7413E30DD4E15F98F7C799,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
16165566,5109975,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
16323114,5CD0A7CCAFF04D3C2BFA95FAD8D0CB36,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
16488264,5161322,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
16567674,5172786,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
16618193,24959,0,0,0,0,tremorgames,,,,,,,0,,1.0,0,1.0,
16670248,5185135,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
16741266,5194903,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
16815864,5197429,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
16957427,5223950,0,0,0,0,clixsense,,,,,,,0,,1.0,0,1.0,
17033368,DFD7D54F4B8B8E130DD4E15F98F7C799,0,0,0,0,neodev,,,,,,,0,,1.0,0,1.0,
