_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,ltfen_en_yakn_anlam_seiniz,ltfen_en_yakn_anlam_seiniz:confidence,ltfen_en_yakn_anlam_seiniz_gold,meaning_example1,meaning_example10,meaning_example11,meaning_example12,meaning_example13,meaning_example14,meaning_example15,meaning_example16,meaning_example17,meaning_example2,meaning_example3,meaning_example4,meaning_example5,meaning_example6,meaning_example7,meaning_example8,meaning_example9,predicate,predicate_no,sentence,sid
758331426,true,golden,21,,Çizgiler halinde belirtmek (Bir gün yine onlara görünmeden krokiler çiziyordum.),0.7636,Çizgiler halinde belirtmek (Bir gün yine onlara görünmeden krokiler çiziyordum.),"Resmini yapmak, resmetmek (Ben sizi yazar olarak değil, insan olarak çizmek istiyorum.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Çizgiler halinde belirtmek (Bir gün yine onlara görünmeden krokiler çiziyordum.),Çizgi biçiminde yaralamak (İğne elimi çizdi.),N.A,N.A,N.A,N.A,N.A,N.A,çiz,1,"Fizik yasası olarak nitelendirebileceğimiz ilk bulguları elde eden Arşimed'in , kumun üstüne çizdiği şekillerle bu geometri problemini çözmeye çalışırken , Siraküza'yı işgal eden Roma ordusunun bir askeri tarafından öldürülmesi , adeta Roma'nın teori düşmanlığının bir simgesi olarak tarihe geçmiştir . ",2020
758626343,false,finalized,3,7/27/2015 14:15:04,Hiçbiri,0.7014,,Elde bulunan bir şeyi tutmaz olmak (Kalemi masaya bıraktı.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Belli bir fiyata vermeyi kabul etmek. (Başkalarına on ikiye veriyoruz ama sana onar kuruştan bırakayım.),"Bakılmak, korunmak için vermek. (Eşyamı size bırakacağım.)",Meydana getirmek. (Bende iz bıraktı.),N.A,N.A,N.A,N.A,N.A,bırak,1,"O sıralar öyleydi , yalnızca kendisine böylesine bağlı olduğum sevgilim değil , ondan gizli ilişkilerimi sürdürdüğüm birçok kadın , terhis döneminde evlerine dağılan askerler gibi beni bırakarak dağılıp gidiyorlardı . ",2021
758626344,false,finalized,4,7/27/2015 13:13:08,Hiçbiri,0.2788,,"Bir yere doğru yönelmek, ulaşmak (Nereye gidiyorsun?)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Bir durumun sürmesi (Ama böyle giderse Allah hemen sonunu hayırlara tebdil etsin.),Yakışmak (Bu renk ona gitmedi.),"Tüketilmek, harcanmak (Eline geçen paranın çoğu da İstanbul'da çoluğa çocuğa gidiyor.)","Yeter olmak, yetmek, yetişmek (İki ton kömür üç ay gider.)",Yok olmak (Gemiler ve saray hepsi gitti.),Satılmak (Altın kaçtan gidiyor?),"Yardımcı Fiil: Değerlendirmek, saymak, karşılamak (Bu iş hoşuma gitmedi, tuhafıma gitti.)",N.A,git,1,"O sıralar öyleydi , yalnızca kendisine böylesine bağlı olduğum sevgilim değil , ondan gizli ilişkilerimi sürdürdüğüm birçok kadın , terhis döneminde evlerine dağılan askerler gibi beni bırakarak dağılıp gidiyorlardı . ",2021
758626345,false,finalized,3,7/27/2015 14:18:58,"Söylemek (Eskilerin dediği gibi beşer, şaşar.)",1.0,,"Söylemek (Eskilerin dediği gibi beşer, şaşar.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Ad vermek (Muşmulaya döngel de derler.),Bir dilde karşılığı olmak,"Herhangi bir kanıya, yargıya varmak (Bu işe herkes ne der?)",N.A,N.A,N.A,N.A,N.A,de,1,Ama sen ille de olmaz dersen kim sana bunu dayatabilir ? . ,2022
758626346,false,finalized,3,7/27/2015 13:38:50,Hiçbiri,0.6688,,"Uçak vb. ile yerden yükselmek, havada yol almak (Paul Fort'un dizeleriyle avundu, Moskova'dan Paris'e uçtu...)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Rengi solmak (Rengi birdenbire uçtu.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,uç,1,"Zenginlik uçup gitmiş , bir gün önce her şey var , bir gün sonra hiçbir şey ... ",2023
758626348,false,finalized,3,7/27/2015 14:54:47,"Tüketilmek, harcanmak (Eline geçen paranın çoğu da İstanbul'da çoluğa çocuğa gidiyor.)",0.6747,,"Bir yere doğru yönelmek, ulaşmak (Nereye gidiyorsun?)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Bir durumun sürmesi (Ama böyle giderse Allah hemen sonunu hayırlara tebdil etsin.),Yakışmak (Bu renk ona gitmedi.),"Tüketilmek, harcanmak (Eline geçen paranın çoğu da İstanbul'da çoluğa çocuğa gidiyor.)","Yeter olmak, yetmek, yetişmek (İki ton kömür üç ay gider.)",Yok olmak (Gemiler ve saray hepsi gitti.),Satılmak (Altın kaçtan gidiyor?),"Yardımcı Fiil: Değerlendirmek, saymak, karşılamak (Bu iş hoşuma gitmedi, tuhafıma gitti.)",N.A,git,1,"Zenginlik uçup gitmiş , bir gün önce her şey var , bir gün sonra hiçbir şey ... ",2023
758626349,false,finalized,5,7/27/2015 12:56:08,"Bir yerde pek çok eşya veya kimse toplanmak, (Li ile konuşurken birden gözleri gözyaşlarıyla doldu.)",0.5728,,Dolu duruma gelmek,N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Bir yerde pek çok eşya veya kimse toplanmak, (Li ile konuşurken birden gözleri gözyaşlarıyla doldu.)","Bitmek, sona ermek (Süresi doldu, emekliye ayrıldı.)",N.A,N.A,N.A,N.A,N.A,N.A,dol,1,Parkı dolduran erkekler işte ! Hepsi orada . ,2024
758626350,false,finalized,3,7/27/2015 14:43:46,Hiçbiri,0.6636,,"Bir şeyi oluşturmak  için emek harcamak (Çalışan ilerler, yerinde kalmaz.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"İşi veya görevi olmak, bulunmak (Artık, diğer otellerde kaç kişi çalışıyor hesaplayın.)",Bir şeyi öğrenmek veya yapmak için emek vermek (Üç senedir piyano çalmaya çalışıyor.),N.A,N.A,N.A,N.A,N.A,N.A,çalış,1,"Dinamonun çalıştırdığı telsizden kurulan bağlantı , uçağın ineceği gölü tarif etmişti rehbere . ",2025
758626351,false,finalized,3,7/27/2015 15:06:49,Yukarıdan aşağıya gelmek (Dağdan kurt indi.),1.0,,Yukarıdan aşağıya gelmek (Dağdan kurt indi.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,Azalmak (Sayımız son günlerde bu miktara inmiştir.),N.A,N.A,N.A,N.A,N.A,N.A,N.A,in,1,"Dinamonun çalıştırdığı telsizden kurulan bağlantı , uçağın ineceği gölü tarif etmişti rehbere . ",2025
758626352,false,finalized,4,7/27/2015 13:43:36,"Yapmak anlamında olan Yardımcı Fiil (yardım etmek, teslim etmek, yataklık etmek, kontrol etmek , hapsetmek)",1.0,,"Bir işi meslek gibi yapmak (Şemsi, sıra düştükçe emlak komisyonculuğu ediyordu.)",N.A,N.A,N.A,N.A,N.A,N.A,N.A,N.A,"Bulmak, erişmek (Hemşerileri gelir, kemençe gibi bir çalgıyla sabahı ederlerdi.)","Birini bir şeyden yoksun bırakmak (Doping, Ali Gürbüz'ü altın kemerden etti.)","Eşit değer kazanmak (Üç artı iki, beş eder.)","Kötülükte bulunmak (Ah, iki bardak süt sen bana neler ettin?)","Yapmak anlamında olan Yardımcı Fiil (yardım etmek, teslim etmek, yataklık etmek, kontrol etmek , hapsetmek)",N.A,N.A,N.A,et,1,"Dinamonun çalıştırdığı telsizden kurulan bağlantı , uçağın ineceği gölü tarif etmişti rehbere . ",2025
